id,date,text,query
539575782478479360,Tue Dec 02 00:24:26 +0000 2014,"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom",#AAPL OR @Apple
539576086129295360,Tue Dec 02 00:25:38 +0000 2014,"RT @tra_hall: The JH Hines Staff with their newly issued @Apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH #txed",#AAPL OR @Apple
539576421098999808,Tue Dec 02 00:26:58 +0000 2014,"RT @sengineland: .@Google received 160K Right To Be Forgotten requests as of 11/5, while @Bing received just 699: http://t.co/aIumvHb646",#GOOG OR @Google
539576581522735104,Tue Dec 02 00:27:36 +0000 2014,"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom",#AAPL OR @Apple
539576814302408705,Tue Dec 02 00:28:32 +0000 2014,"@JoeBeOne @RyanRadia @google @csoghoian In progress: http://t.co/P8IV1Uw9Rx",#GOOG OR @Google
539576840235794433,Tue Dec 02 00:28:38 +0000 2014,"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom",#AAPL OR @Apple
539576890936545280,Tue Dec 02 00:28:50 +0000 2014,"This seriously needs to be fixed! : Memory Leak on Lollipop crashing Apps. https://t.co/Y1zYeMEqAn @googlenexus @Android @google",#GOOG OR @Google
539577157333159937,Tue Dec 02 00:29:53 +0000 2014,"'TUDIA Ultra Slim LITE TPU Bumper Protective Case for Motorola Moto X (2nd Gen 2014... via @amazon @motoX @google @Motorola_CA",#GOOG OR @Google
539577178019889153,Tue Dec 02 00:29:58 +0000 2014,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted.",#AAPL OR @Apple
539577546955030528,Tue Dec 02 00:31:26 +0000 2014,"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom",#AAPL OR @Apple
539577636599521280,Tue Dec 02 00:31:48 +0000 2014,"#TechSkills &amp; Courses @Google recommends for #Software #Engineers
http://t.co/bvy5hyssWX
@KarthikPMO @Success4PMs",#GOOG OR @Google
539577980071460864,Tue Dec 02 00:33:09 +0000 2014,"Its your last day to get @google Play Credit w/ select purchases from the Play Store.
#TGSmartBuys #deals #android
http://t.co/sHhVJ9f5SI",#GOOG OR @Google
539578918622482433,Tue Dec 02 00:36:53 +0000 2014,"Mega-resources for the good fight: @Jacqfuller leads @Google's philanthropic arm: http://t.co/kqEr2ikJzu #socialgood @CSR",#GOOG OR @Google
539579088617234432,Tue Dec 02 00:37:34 +0000 2014,"Hey @google, your Apps for Education privacy policy returns a 404 error. https://t.co/IbTChtypcj
#awkward",#GOOG OR @Google
539579298823168000,Tue Dec 02 00:38:24 +0000 2014,"Official Google Blog: Race with Rudolph and skydive with Santa in the countdown to December 24 http://t.co/88B1z6pFHD via @google",#GOOG OR @Google
539579371305336832,Tue Dec 02 00:38:41 +0000 2014,"@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure",#AAPL OR @Apple
539579645956734976,Tue Dec 02 00:39:47 +0000 2014,"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom",#AAPL OR @Apple
539579663262433281,Tue Dec 02 00:39:51 +0000 2014,"@thehill @Apple Furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the US gov.",#AAPL OR @Apple
539580061285093377,Tue Dec 02 00:41:26 +0000 2014,".@sengineland Maybe because I'm Europe almost no one know/use Bing? Cc:@google @bing @gsterling",#GOOG OR @Google
539580517717250048,Tue Dec 02 00:43:15 +0000 2014,"@StantehManPls @Pirates @google idk I size it",#GOOG OR @Google
539580560348565504,Tue Dec 02 00:43:25 +0000 2014,"RT @sengineland: .@Google received 160K Right To Be Forgotten requests as of 11/5, while @Bing received just 699: http://t.co/aIumvHb646",#GOOG OR @Google
539580821397442560,Tue Dec 02 00:44:27 +0000 2014,"Um... is anyone else bothered that @google doesn't have anything on their homepage about World AIDS Day? #WorldAIDSDay",#GOOG OR @Google
539580971729690624,Tue Dec 02 00:45:03 +0000 2014,"#AAPL:Here's why Apple dropped...http://t.co/qVpNCJv1pb",#AAPL OR @Apple
539581053317681153,Tue Dec 02 00:45:22 +0000 2014,"This one chart explains @tim_cook's affect on @Apple. Paints an interesting story. What do you think? http://t.co/7cBY6jL5Pn",#AAPL OR @Apple
539581377570562048,Tue Dec 02 00:46:40 +0000 2014,"RT @susanmcp1: Mega-resources for the good fight: @Jacqfuller leads @Google's philanthropic arm: http://t.co/kqEr2ikJzu #socialgood @CSR",#GOOG OR @Google
539581390103531520,Tue Dec 02 00:46:42 +0000 2014,"@google I said get off of youtubes dick im trying to play some music and yall keep putting YouTube videos on their",#GOOG OR @Google
